index,exact_value
0,4.087620984870757
1,4.138391866680594
2,4.174213378700578
3,4.1210722252734815
4,4.019411318123391
5,3.984551896862874
6,3.955894559336763
7,3.8677855998128607
8,3.721993739296259
9,3.794329795235524
10,4.055965380802929
11,4.266480727126127
12,4.39260873444431
13,4.436712503234514
14,4.460718893543434
15,4.437448500910968
16,4.394760925893031
17,4.361981340598143
18,4.345663589349086
19,4.3461118308534905
20,4.352413634096995
21,4.371208610985291
22,4.3591673479892
23,4.303397211071906
24,4.189358050694387
25,4.122148561235471
26,4.129448139317679
27,4.251814100512471
28,4.353658235358255
29,4.444386709660465
30,4.476704210153123
31,4.4947838080486715
32,4.5048200321658705
33,4.514621727000168
34,4.531155616842513
35,4.529527491650059
36,4.52928749281497
37,4.531772225217029
38,4.549684980601189
39,4.566188675137816
40,4.562808449232853
41,4.534416359243078
42,4.486513737944338
43,4.434725735520297
44,4.367790356602013
45,4.283130098387295
46,4.089089125170117
47,3.7878139085381837
48,3.328507358734314
49,3.0700359471901693
50,3.046518355446661
51,3.1621780731944766
52,3.199591148375515
53,3.219345980591056
54,3.357546761899121
55,3.4478826952450357
56,3.597082623549056
57,3.726334188704224
58,3.8666990408024944
59,3.9080468485271758
60,3.719519056597827
61,3.3306302956139975
62,2.6135755915322445
63,1.9963725399513523
64,1.7928850984998992
65,2.1236463679879365
66,2.4914882053921987
67,2.805853134265348
68,3.1656954697385182
69,3.4502446314386037
70,3.62578485889004
71,3.6282092959645063
72,3.7178687265341166
73,3.8979404103002215
74,4.172572934551098
75,4.272018546777811
76,4.2894454241413005
77,4.164824772863144
78,4.112468540431177
79,4.127164832516957
80,4.3056442229288505
81,4.432936875003584
82,4.507830536417663
83,4.507794357497882
84,4.507113674347433
85,4.503763832305131
86,4.49181318604174
87,4.46668506808967
88,4.442841916198955
89,4.422882391373052
90,4.416413967372214
91,4.409032268538904
92,4.41120719119176
93,4.405687328317194
94,4.3937892841891815
95,4.335980694987751
96,4.265409551935823
97,4.157685368267512
98,4.12295045148942
99,4.157602127828021
100,4.292640711639699
101,4.379604341311636
102,4.388872366987742
103,4.317536037031095
104,4.239210407284175
105,4.1845135046852215
106,4.150688727777152
107,4.141142806307217
108,4.143465350531049
109,4.161284474078805
110,4.167956370486837
111,4.18409593908745
112,4.161036903658099
113,4.087522006030593
114,4.025182297260025
115,4.105477684007956
116,4.294700247267419
117,4.454119651384753
118,4.519372022543073
119,4.528353647329413
120,4.476514590814904
121,4.373097156112664
122,4.234397572892857
123,4.089202772873489
124,3.9652801407456315
125,3.752954886909244
126,3.5149577316305494
127,3.3290782929319875
128,3.3632169751915635
129,3.5876878396569043
130,3.7969023421722787
131,4.025530786807273
132,4.198069391867016
133,4.374403134084063
134,4.465986289372011
135,4.513330191048453
136,4.516158349425969
137,4.524703670990257
138,4.534060087024653
139,4.535498920478963
140,4.533150181156581
141,4.536315302226314
142,4.546424583917694
143,4.561948319047563
144,4.567393564240732
145,4.537739631383336
146,4.474774409018098
147,4.408760117539615
148,4.413387533521155
149,4.454205751555961
150,4.477371809126008
151,4.468955693822563
152,4.461257412422248
153,4.477653932854969
154,4.457836472990133
155,4.3938729082947106
156,4.29169595842504
157,4.215084933540963
158,4.192643469068008
159,4.206780933289537
160,4.223020169803803
161,4.190752680690878
162,4.099859582954416
163,3.986652304109343
164,3.891371093571973
165,3.8537674691326913
166,3.850104962831609
167,3.9293536888268314
168,4.028836545329937
169,4.021728223378107
170,3.8315528953022473
171,3.499567362954646
172,3.4116610718845948
173,3.4795776796465634
174,3.6806500587745936
175,3.7650770391397224
176,3.9708536679189064
177,4.058168123577993
178,4.050950911384831
179,3.876716183141831
180,3.6542234621355716
181,3.4535166210011483
182,3.36762516627943
183,3.3953987950276647
184,3.4871398038438737
185,3.5106971241586553
186,3.420779812084962
187,3.2554050519632747
188,3.0528269814591
189,2.960723079601033
190,2.8978530580340283
191,2.831278352862584
192,2.951871552383114
193,3.051872117585176
194,3.2779576138737663
195,3.1880120444750193
196,3.1294314579926112
197,2.93118430169888
198,3.067447940844334
199,3.202743845197666
200,3.353826258782347
201,3.324625449013845
202,3.147094733073681
203,2.791041786377217
204,2.3115858447601574
205,1.9927013261182676
206,2.135050365661191
207,2.5196020214000185
208,2.865664706663525
209,3.1282935404573813
210,3.299502900044548
211,3.376840904304198
212,3.380150497158419
213,3.43817206578959
214,3.728055669566306
215,4.07260209719748
216,4.325518968578897
217,4.384836667755433
218,4.218872909803701
219,3.849921881108965
220,3.141578889073698
221,2.3494902580980455
222,1.9919851723119673
223,2.6540442880693993
224,3.301839465615867
225,3.7623999318978947
226,4.117228847085933
227,4.279413272135227
228,4.332511560715226
229,4.289935542738637
230,4.260680740047132
231,4.228585412468617
232,4.2132882993400065
233,4.210403071709216
234,4.23554389707356
235,4.228663941156625
236,4.083608905737503
237,3.730725887789606
238,3.0993438265505295
239,2.267990898743623
240,1.6324510265883645
241,1.807174560372572
242,2.2345933869430894
243,2.564122233486203
244,2.7227928562510466
245,2.750407921725638
246,2.7541885416642313
247,2.6882626370242133
248,2.6536414651843816
249,2.6819189946609283
250,2.8884997063910873
251,3.085455891619447
252,3.3386638226124843
253,3.63319217687129
254,3.9394362818803264
255,4.1426670398107
256,4.276617006529956
257,4.359263437513717
258,4.446315982278102
259,4.491568392807578
260,4.516105979723212
261,4.504490805576856
262,4.505022584855916
263,4.484391096983154
264,4.44934601989386
265,4.345750331723699
266,4.2807069024527
267,4.250685799393089
268,4.306369397995911
269,4.215078463472452
